"id","availability","condition","description","image_link","link","title","price","brand"
"o5elrrjcs","in stock","new","a glassybaby without color, like a human in a birthday suit — any style stripped is more than made up for by the elegant, honest and beautiful naked form","http://www.glassybaby.com/site/images/product-images/birthday-suit-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/birthday-suit","birthday suit | glassybaby","50 USD","glassybaby"
"3ezgg9hhd","in stock","new","science used to say protein,carbohydrates, and fat were all we needed.then they discovered vitamins a, b, c,and the minerals, calcium, iron.and most recently, antioxidants,omega-3s, and so on,so we're going to skip aheadand add kindness and comfortto the list of things we needto nourish ourselves.","http://www.glassybaby.com/site/images/product-images/nourish-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/nourish","nourish | glassybaby","100 USD","glassybaby"
"nybnyw9cc","in stock","new","10% of the sale of each glassybaby will be donated to the glassybaby white light fund to help people, animals, and planet heal","http://www.glassybaby.com/site/images/product-images/best-man-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/best-man","best man | glassybaby","100 USD","glassybaby"
"8cpre7922","in stock","new","“why is the sky blue?” you ask dad. “because it reflects the ocean,” dad fibs. you look out the window, then back: “then why is the ocean blue?”","http://www.glassybaby.com/site/images/product-images/ocean-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/ocean","ocean | glassybaby","50 USD","glassybaby"
"dveovuwua","in stock","new","10% of the sale of each glassybaby will be donated to the glassybaby white light fund to help people, animals, and planet heal","http://www.glassybaby.com/site/images/product-images/mother-of-bride-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/mother-of-the-bride","mother of the bride | glassybaby","150 USD","glassybaby"
"dcfdrbk88","in stock","new","haze hangs over marsh mud. a bent willow weeps with silent rain. but deeper in the drear blooms a single flower of symmetry sublime: the lotus","http://www.glassybaby.com/site/images/product-images/lotus-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/lotus","lotus | glassybaby","50 USD","glassybaby"
"xmeaosjyn","in stock","new","leprechauns know the secret – a charm is only lucky if and because you believe it so","http://www.glassybaby.com/site/images/product-images/lucky-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/lucky","lucky | glassybaby","50 USD","glassybaby"
"yxe72yg9b","in stock","new","blink, blink. one eye opens halfway. it's nice when we wake up before the alarm, because we can just lay - ahhh, that's right, it's today. no alarm today. pillow. two hours pass in two minutes. outside the window, it's raining, oh no, drat, dar, just to stay inside in our pajamas. all day.","http://www.glassybaby.com/site/images/product-images/pajamas-all-day-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/pajamas-all-day","pajamas all day | glassybaby","150 USD","glassybaby"
"m0pm5fz3d","in stock","new","you don’t need to travel, or wait, or search. if you let it, the present moment itself will be your muse","http://www.glassybaby.com/site/images/product-images/muse-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/muse","muse | glassybaby","50 USD","glassybaby"
"2cfzgw12g","in stock","new","cedarscent shade, soft wind song, summer forest clearings cool. in november, flat leaves fall; but needles wave on winter wind, fir and hemlock evergreen","http://www.glassybaby.com/site/images/product-images/evergreen-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/evergreen","evergreen | glassybaby","50 USD","glassybaby"
